endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Systolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,1,2
Total Cholesterol,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,2,4
Triglycerides,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-28,-2
VO2max,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,7,4.4
BMI,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.1,-0.2
Body Fat,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.2,-2.6
Body Mass,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.1,-0.5
Diastolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,0
Fasting Glucose,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.05,-0.99
Flow-mediated Dilation,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,1.3
HDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,0.31,0.08
HOMA-IR,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.6,-0.5
LDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.73,-0.57
Systolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-12,-5
Total Cholesterol,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.49,-0.1
Triglycerides,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.2,-0.06
VO2max,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,6.1,3.3
Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-8.5,-4
Flow-mediated Dilation,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,4.17,0.61
Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-13,-5
VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,5.2,1.8
BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.4,-0.4
